,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
347,Natal,BR,-5.795,-35.2094,80.82,83,40,9.22,scattered clouds
348,Port Blair,IN,11.6667,92.75,84.24,70,40,12.66,scattered clouds
349,Meulaboh,ID,4.1363,96.1285,85.59,68,100,4.76,overcast clouds
350,Turukhansk,RU,65.8167,87.9833,-21.77,100,100,1.61,overcast clouds
351,Ndioum,SN,16.5129,-14.6471,73.18,17,96,9.22,overcast clouds
352,Gwadar,PK,25.1216,62.3254,64.26,30,64,12.88,broken clouds
353,Ulagan,RU,50.6321,87.9563,8.89,75,100,2.71,overcast clouds
354,Aklavik,CA,68.2191,-135.0107,-26.57,99,58,7.49,broken clouds
355,Shingu,JP,33.7333,135.9833,61.79,57,91,9.66,overcast clouds
356,Atar,MR,20.5169,-13.0499,64.9,23,0,3.04,clear sky
357,Mchinji,MW,-13.7984,32.8802,74.03,52,34,11.05,scattered clouds
358,Progreso,MX,21.2833,-89.6667,75.11,78,100,11.45,overcast clouds
359,Ewing,US,40.2698,-74.7999,55.65,83,90,0.0,overcast clouds
360,Boa Vista,BR,2.8197,-60.6733,80.58,69,20,9.22,few clouds
361,Vila Velha,BR,-20.3297,-40.2925,77.95,87,40,10.0,scattered clouds
362,Valparaiso,CL,-33.0393,-71.6273,58.12,88,0,4.61,clear sky
363,Punta Cardon,VE,11.6581,-70.215,78.35,83,41,20.71,scattered clouds
364,Gigmoto,PH,13.7796,124.39,80.91,89,96,19.95,overcast clouds
365,Nanortalik,GL,60.1432,-45.2371,27.19,70,100,12.1,overcast clouds
366,Petrolina,BR,-9.3986,-40.5008,80.65,65,0,12.66,light rain
367,Darhan,MN,49.4867,105.9228,2.3,78,9,5.82,clear sky
368,Ambulu,ID,-8.345,113.6058,84.92,74,81,4.7,broken clouds
369,Klaksvik,FO,62.2266,-6.589,45.52,83,67,22.79,broken clouds
370,Mogadishu,SO,2.0371,45.3438,78.67,89,40,9.22,scattered clouds
371,Najran,SA,17.4924,44.1277,47.05,16,9,4.43,clear sky
372,Henties Bay,NA,-22.116,14.2845,54.86,92,8,7.56,clear sky
373,Deputatskiy,RU,69.3,139.9,-24.45,97,98,3.74,overcast clouds
374,Sept-Iles,CA,50.2001,-66.3821,18.05,72,90,1.99,overcast clouds
375,Jalu,LY,29.0331,21.5482,51.37,74,27,8.05,scattered clouds
376,Vetluzhskiy,RU,58.3902,45.4654,23.47,95,100,8.75,overcast clouds
377,Ketchikan,US,55.3422,-131.6461,27.07,80,1,5.75,clear sky
378,Safford,US,32.834,-109.7076,47.12,65,1,0.0,clear sky
379,Mareeba,AU,-17.0,145.4333,91.33,52,54,9.48,broken clouds
380,Bhopal,IN,23.2667,77.4,71.83,53,62,5.75,haze
381,Sovetskiy,RU,61.3614,63.5842,9.86,97,100,5.17,overcast clouds
382,Olafsvik,IS,64.8945,-23.7142,42.91,89,100,34.67,heavy intensity rain
383,Fairbanks,US,64.8378,-147.7164,-17.01,73,20,0.0,few clouds
384,Roche-La-Moliere,FR,45.4341,4.3228,33.42,100,90,3.44,mist
385,Ferkessedougou,CI,9.6,-5.2,80.04,21,100,6.06,overcast clouds
386,Sassandra,CI,4.95,-6.0833,78.6,85,94,4.63,overcast clouds
387,Skoghall,SE,59.3232,13.4655,39.76,75,1,5.75,clear sky
388,Coquimbo,CL,-29.9533,-71.3436,60.53,82,90,4.61,overcast clouds
389,Deer Lake,CA,49.1667,-57.4316,17.46,67,90,9.22,light snow
390,Oranjemund,NA,-28.55,16.4333,60.66,81,6,21.27,clear sky
391,Richards Bay,ZA,-28.783,32.0377,74.88,79,76,17.81,broken clouds
392,Idaho Falls,US,43.4666,-112.0341,23.09,63,90,4.61,overcast clouds
393,Iskateley,RU,67.6803,53.1512,21.78,95,100,9.89,overcast clouds
394,Sibolga,ID,1.7427,98.7792,81.45,85,98,3.91,overcast clouds
395,Beringovskiy,RU,63.05,179.3167,4.91,95,100,21.34,snow
396,Oeiras,BR,-7.0253,-42.1311,78.19,59,100,3.02,overcast clouds
397,Nyurba,RU,63.2842,118.3319,-8.07,93,98,9.35,overcast clouds
398,Wanaka,NZ,-44.7,169.15,58.19,86,100,1.45,overcast clouds
399,Shache,CN,38.4167,77.2406,32.56,32,26,1.54,scattered clouds
400,Saint George,US,37.1041,-113.5841,36.19,72,1,1.01,clear sky
401,Vao,NC,-22.6667,167.4833,75.54,67,21,14.09,few clouds
402,Kharp,RU,66.8014,65.8081,0.63,98,100,3.47,overcast clouds
403,Emba,KZ,48.8264,58.1442,29.41,89,100,15.1,overcast clouds
404,Adrar,MR,20.5022,-10.0711,65.89,31,0,6.26,clear sky
405,Grootfontein,NA,-19.5667,18.1167,60.37,51,20,4.61,few clouds
406,Srednekolymsk,RU,67.45,153.6833,-21.87,93,99,2.57,overcast clouds
407,Yerbogachen,RU,61.2767,108.0108,-5.24,96,100,12.12,light snow
408,Barcelos,PT,41.5388,-8.6151,53.85,57,11,5.28,few clouds
409,Isangel,VU,-19.55,169.2667,84.31,65,20,5.75,few clouds
410,Tire,TR,38.0888,27.7351,43.32,93,100,6.58,overcast clouds
411,Sheridan,US,44.8333,-106.9173,24.98,64,40,1.99,scattered clouds
412,Puri,IN,19.8,85.85,72.37,47,28,9.93,scattered clouds
413,Leshukonskoye,RU,64.8989,45.7622,19.0,96,98,6.06,overcast clouds
414,Lima,PE,-12.0432,-77.0282,65.89,83,20,12.66,few clouds
415,Walvis Bay,NA,-22.9575,14.5053,55.09,87,0,6.91,clear sky
416,College,US,64.8569,-147.8028,-13.34,73,75,5.75,broken clouds
417,Dicabisagan,PH,17.0818,122.4157,76.96,89,98,8.3,overcast clouds
418,Tuensang,IN,26.2833,94.8333,70.39,38,5,2.77,clear sky
419,Rio Grande,BR,-32.035,-52.0986,69.76,98,100,6.24,overcast clouds
420,Gradistea,RO,44.2333,27.2167,41.11,73,100,4.0,overcast clouds
421,Cadillac,US,44.2519,-85.4012,61.14,82,90,20.71,overcast clouds
422,Diplo,PK,24.4667,69.584,69.17,13,0,11.52,clear sky
423,Hun,LY,29.1268,15.9477,49.44,82,20,5.91,few clouds
424,Waipawa,NZ,-41.4122,175.5153,59.94,86,100,9.37,overcast clouds
425,Vaitape,PF,-16.5167,-151.75,81.1,76,22,14.29,light rain
426,Almeirim,BR,-1.5233,-52.5817,75.2,94,99,4.16,overcast clouds
427,West Wendover,US,40.7391,-114.0733,24.01,74,1,9.22,clear sky
428,Talnakh,RU,69.4865,88.3972,-20.79,100,100,1.92,overcast clouds
429,Scarborough,GB,54.2797,-0.4044,47.91,93,4,7.02,clear sky
430,Caravelas,BR,-17.7125,-39.2481,73.98,96,100,4.52,overcast clouds
431,Port Pirie,AU,-33.1833,138.0167,86.09,23,0,12.15,clear sky
432,Noumea,NC,-22.2763,166.4572,82.38,65,42,10.31,scattered clouds
433,Tecpan,GT,14.7623,-90.9947,53.46,96,11,5.46,few clouds
434,Mons,BE,50.4538,3.9516,48.38,87,90,2.3,mist
435,Zhigansk,RU,66.7697,123.3711,-23.62,96,100,9.8,overcast clouds
436,Tiksi,RU,71.6872,128.8694,-14.17,96,100,2.33,overcast clouds
437,Nova Esperanca,BR,4.438,-61.1151,70.39,90,100,2.46,overcast clouds
438,Letterkenny,IE,54.95,-7.7333,46.09,96,96,4.97,overcast clouds
439,Pyay,MM,18.8167,95.2167,80.82,48,17,10.0,few clouds
440,Gumdag,TM,39.2061,54.5906,37.22,48,96,15.1,overcast clouds
441,Grindavik,IS,63.8424,-22.4338,45.07,93,90,28.77,moderate rain
442,Mecca,SA,21.4267,39.8261,74.66,69,41,3.71,scattered clouds
443,Bereda,ES,43.2686,-7.5406,37.89,81,7,1.19,clear sky
444,Sadiqabad,PK,28.3062,70.1307,62.8,17,0,9.22,clear sky
445,Tsabong,BW,-26.0217,22.401,73.08,32,3,4.92,clear sky
446,Kushmurun,KZ,52.4503,64.6311,21.34,85,100,15.41,overcast clouds
447,Kabo,CF,7.6994,18.629,70.81,32,100,5.35,overcast clouds
448,Faya,SA,18.3851,42.4509,51.91,26,74,3.0,broken clouds
449,Mizdah,LY,31.4451,12.9801,42.26,84,6,1.48,clear sky
450,Horsham,GB,51.064,-0.3272,52.02,73,75,4.61,broken clouds
451,Ahuimanu,US,21.4447,-157.8378,78.51,71,1,13.8,clear sky
452,Port Macquarie,AU,-31.4333,152.9167,78.76,82,83,5.48,broken clouds
453,Emerald,AU,-23.5333,148.1667,91.54,38,0,6.91,clear sky
454,Espanola,US,35.9911,-106.0806,36.28,50,3,4.81,clear sky
455,Qingdao,CN,36.0986,120.3719,49.6,62,99,17.9,haze
456,Inongo,CD,-1.95,18.2667,71.87,95,100,3.56,overcast clouds
457,Horki,BY,54.2861,30.9842,33.78,98,100,13.89,overcast clouds
458,Luanda,AO,-8.8368,13.2343,77.0,88,75,5.75,broken clouds
459,Aksu,CN,41.1231,80.2644,29.89,40,2,2.33,clear sky
460,Dakar,SN,14.6937,-17.4441,70.68,75,97,18.07,overcast clouds
461,Tarata,BO,-17.6167,-66.0167,56.62,74,65,4.97,broken clouds
462,Khor,RU,47.8861,134.9464,-5.04,81,13,9.53,few clouds
463,Stratford-Upon-Avon,GB,52.1917,-1.7073,52.41,86,1,4.83,clear sky
464,Bambanglipuro,ID,-7.95,110.2833,70.61,72,85,6.93,overcast clouds
465,Katima Mulilo,NA,-17.5,24.2667,69.01,83,96,5.35,light rain
466,Barabai,ID,-2.5833,115.3833,90.81,55,99,2.77,overcast clouds
467,Lahij,YE,13.1667,44.5833,69.62,67,5,7.45,clear sky
468,Kiunga,PG,-6.1219,141.2906,86.0,71,72,1.25,broken clouds
469,Uelzen,DE,52.9667,10.5667,47.07,97,34,6.13,scattered clouds
470,South Yuba City,US,39.1166,-121.6391,47.64,84,90,26.46,heavy intensity rain
471,Uvalde,US,29.3669,-99.767,71.13,61,1,8.05,clear sky
472,Mercedes,AR,-34.6515,-59.4307,63.84,94,1,6.26,clear sky
473,Arraial Do Cabo,BR,-22.9661,-42.0278,74.73,95,100,22.59,overcast clouds
474,Guiratinga,BR,-16.3494,-53.7583,70.61,97,87,3.04,moderate rain
475,Shiyan,CN,32.6475,110.7781,55.29,28,87,7.49,overcast clouds
476,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,84,100,4.83,overcast clouds
477,Chimbote,PE,-9.0853,-78.5783,65.95,88,30,5.48,scattered clouds
478,Gelemso,ET,8.8167,40.5167,63.23,57,22,2.1,few clouds
479,Amapa,BR,1.0,-52.0,71.83,99,72,2.15,broken clouds
480,Narovchat,RU,53.8765,43.6946,27.07,92,100,9.28,overcast clouds
481,Belyy Yar,RU,53.6039,91.3903,4.86,89,100,0.0,smoke
482,Aldan,RU,58.6031,125.3894,-16.49,94,100,7.56,overcast clouds
483,Dali,CN,25.7,100.1833,60.17,30,0,4.05,clear sky
484,Baiyin,CN,36.5583,104.2081,29.28,35,3,6.53,clear sky
485,Kahului,US,20.8947,-156.47,75.85,80,20,17.27,light rain
486,Boende,CD,-0.2167,20.8667,73.74,93,100,2.53,overcast clouds
487,Ozerna,UA,49.6289,25.329,33.24,100,100,7.63,overcast clouds
488,San Patricio,US,28.017,-97.5169,75.29,91,90,14.38,overcast clouds
489,Bowen,AU,-20.0167,148.2333,89.82,60,6,16.58,clear sky
490,Itarema,BR,-2.9248,-39.9167,80.62,76,46,16.64,scattered clouds
491,Grand-Bourg,GP,15.8835,-61.3148,76.95,72,24,23.29,few clouds
492,Porto Walter,BR,-8.2686,-72.7439,73.69,96,98,2.75,overcast clouds
493,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.24,91,100,16.75,overcast clouds
494,Syracuse,IT,37.0881,15.2792,52.61,68,100,5.32,overcast clouds
495,Rach Gia,VN,10.0167,105.0833,84.15,61,47,3.91,scattered clouds
496,Aswan,EG,24.0934,32.907,51.1,62,0,11.5,clear sky
497,Lata,PT,40.1629,-8.3327,51.82,61,44,4.63,scattered clouds
498,Barela,IN,23.1,80.05,68.81,56,68,4.61,haze
499,Kasongo,CD,-4.45,26.6667,68.97,96,100,1.48,light rain
500,Nova Olimpia,BR,-14.7972,-57.2881,73.27,98,100,2.46,overcast clouds
501,Bundaberg,AU,-24.85,152.35,86.29,45,0,10.36,clear sky
502,Zhezkazgan,KZ,47.8043,67.7144,15.78,92,90,0.0,fog
503,Carira,BR,-10.3608,-37.7011,70.16,93,77,7.16,broken clouds
504,Borogontsy,RU,62.6683,131.1683,-38.45,99,85,1.97,overcast clouds
505,Agirish,RU,61.9247,63.0231,12.22,95,100,5.55,overcast clouds
506,Adamovka,RU,51.5223,59.9396,25.43,91,100,13.42,overcast clouds
507,Tocopilla,CL,-22.092,-70.1979,66.52,77,37,5.17,scattered clouds
508,Skjervoy,NO,70.0311,20.9714,40.5,77,88,15.59,light rain
509,Pokrovo-Prigorodnoye,RU,52.6841,41.4175,23.86,96,83,6.6,broken clouds
510,Los Llanos De Aridane,ES,28.6585,-17.9182,56.95,67,0,6.91,clear sky
511,Khorixas,NA,-20.3667,14.9667,65.93,33,3,0.45,clear sky
512,Lazarev,RU,52.225,141.5131,-3.73,79,76,8.32,broken clouds
513,Yoichi,JP,43.2039,140.7703,39.22,62,99,5.3,overcast clouds
514,Tarime,TZ,-1.35,34.3667,65.95,83,97,4.59,overcast clouds
515,Bobcaygeon,CA,44.5462,-78.542,46.15,78,100,13.15,overcast clouds
516,Phan Thiet,VN,10.9333,108.1,83.61,69,86,9.4,overcast clouds
517,Zheleznodorozhnyy,RU,55.7503,38.0042,30.72,97,99,12.57,snow
518,Husavik,IS,66.0449,-17.3389,42.71,79,48,14.23,scattered clouds
519,Whitianga,NZ,-36.8333,175.7,69.03,72,17,14.03,few clouds
520,Isla Mujeres,MX,21.2311,-86.731,78.17,69,100,12.86,overcast clouds
521,Pochutla,MX,15.7432,-96.4661,73.81,68,0,3.44,clear sky
522,Te Anau,NZ,-45.4167,167.7167,62.51,71,98,2.1,overcast clouds
523,Arica,CL,-18.475,-70.3042,66.43,72,90,4.61,overcast clouds
524,Belaya Gora,RU,68.5333,146.4167,-33.5,100,100,3.67,overcast clouds
525,Bilibino,RU,68.0546,166.4372,-9.78,72,99,7.07,overcast clouds
526,Kenai,US,60.5544,-151.2583,7.14,85,1,4.61,light snow
527,Namatanai,PG,-3.6667,152.4333,82.87,75,100,4.99,light rain
528,Trelew,AR,-43.249,-65.3051,65.44,63,19,4.03,few clouds
529,Terney,RU,45.0503,136.6092,21.47,53,35,6.33,scattered clouds
530,Chapais,CA,49.7834,-74.8492,20.98,93,100,10.13,overcast clouds
531,Shelburne,CA,44.0787,-80.2041,50.45,75,100,18.54,overcast clouds
532,Rincon,US,32.296,-81.2354,59.86,94,1,6.91,clear sky
533,Marmaris,TR,36.855,28.2742,55.38,76,26,6.58,scattered clouds
534,Senador Canedo,BR,-16.7081,-49.0931,70.93,88,90,4.61,light rain
535,Gallup,US,35.5281,-108.7426,27.36,72,1,0.0,clear sky
536,Zyryanovsk,KZ,49.7386,84.2719,8.46,93,100,0.56,overcast clouds
537,Rio Gallegos,AR,-51.6226,-69.2181,55.45,67,0,25.32,clear sky
538,Bonfim,BR,3.0833,-59.95,77.76,76,99,5.61,overcast clouds
539,Sitka,US,57.0531,-135.33,33.69,86,90,0.0,light snow
540,Maceio,BR,-9.6658,-35.7353,76.44,94,75,5.75,broken clouds
541,Shimoda,JP,34.6667,138.95,62.71,57,69,17.36,broken clouds
542,Oussouye,SN,12.485,-16.5469,71.2,70,95,4.85,overcast clouds
543,Saint Anthony,US,45.0205,-93.218,54.55,76,90,5.99,overcast clouds
544,Goundi,TD,9.3627,17.366,70.43,30,100,4.68,overcast clouds
545,San Lorenzo,PY,-25.3333,-57.5333,76.59,78,0,5.99,clear sky
546,Dalupaon,PH,13.5517,122.9457,82.56,79,97,20.04,moderate rain
547,Malibu,US,34.005,-118.8101,53.19,69,85,5.3,overcast clouds
548,Adelaide,AU,-34.9333,138.6,89.04,26,0,9.93,clear sky
549,Rezina,MD,47.7492,28.9622,32.18,90,23,7.43,few clouds
550,Rahuri,IN,19.3833,74.65,75.97,44,96,7.87,overcast clouds
551,Puerto Madero,MX,14.7208,-92.4215,75.4,100,20,0.0,few clouds
552,Krizevci,HR,46.0219,16.5425,41.81,96,41,2.48,scattered clouds
553,Pozo Colorado,PY,-23.4923,-58.7972,78.13,61,28,7.29,scattered clouds
554,Cap Malheureux,MU,-19.9842,57.6142,81.46,68,12,10.0,light rain
555,Aksarka,RU,66.5606,67.7975,-0.8,97,98,5.99,overcast clouds
556,Baraya,CO,3.1533,-75.0531,70.14,88,96,4.16,overcast clouds
557,Rahimatpur,IN,17.6,74.2,74.34,59,84,6.64,broken clouds
558,Makakilo City,US,21.3469,-158.0858,77.32,67,20,5.75,few clouds
559,Buchanan,LR,5.8808,-10.0467,78.82,85,87,5.01,light rain
560,Bayan,CN,46.0833,127.4,4.3,66,100,11.52,overcast clouds
561,Maniitsoq,GL,65.4167,-52.9,22.91,72,97,10.04,overcast clouds
562,Batemans Bay,AU,-35.7167,150.1833,78.19,64,97,4.32,overcast clouds
563,Nioro,GM,13.35,-15.75,73.54,30,100,5.19,overcast clouds
564,Forest,US,37.3638,-79.2897,46.08,78,1,0.0,clear sky
565,The Pas,CA,53.8251,-101.2541,3.22,72,90,17.27,overcast clouds
566,Urusha,RU,54.05,122.9,-7.91,57,63,6.6,broken clouds
567,Hobyo,SO,5.3505,48.5268,80.04,78,55,20.22,broken clouds
568,Bakchar,RU,57.0186,82.0711,15.67,94,99,6.82,overcast clouds
569,Chicama,PE,-7.8447,-79.1469,64.94,83,52,5.03,broken clouds
570,San Juan,AR,-31.5375,-68.5364,77.63,52,30,15.9,scattered clouds
571,Aire-Sur-La-Lys,FR,50.6387,2.3988,49.82,96,100,3.6,overcast clouds
572,Rocha,UY,-34.4833,-54.3333,61.2,97,23,3.09,few clouds
573,Mazyr,BY,52.0495,29.2456,34.14,91,73,11.01,broken clouds
574,Coracao De Jesus,BR,-16.6853,-44.365,72.32,94,100,4.05,overcast clouds
575,Ust-Kan,RU,50.9276,84.761,10.13,86,100,8.97,overcast clouds
576,Muzhi,RU,65.3667,64.6667,5.02,97,100,5.23,overcast clouds
577,Steinbach,DE,50.1667,8.5667,45.03,87,90,3.44,overcast clouds
578,Aktash,RU,50.3,87.7333,1.94,78,99,5.39,overcast clouds
579,Belmonte,BR,-15.8631,-38.8828,75.7,89,100,7.11,overcast clouds
580,Benin,BJ,9.5,2.25,67.87,19,5,4.56,clear sky
581,Nagtipunan,PH,16.2167,121.6,77.49,78,93,5.17,overcast clouds
582,Ewa Beach,US,21.3156,-158.0072,78.75,67,20,11.01,few clouds
583,Sistranda,NO,63.7256,8.834,44.91,81,72,34.09,light rain
584,Vigia Del Fuerte,CO,6.5789,-76.8863,73.76,98,100,2.48,overcast clouds
585,Kisangani,CD,0.5167,25.2,73.02,95,100,0.47,overcast clouds
586,Svetlyy,RU,54.675,20.1347,46.45,95,100,18.41,overcast clouds
587,Bhadasar,IN,28.2833,74.3167,61.34,25,0,5.88,clear sky
588,Atambua,ID,-9.1061,124.8925,86.7,59,8,3.36,clear sky
589,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.57,85,18,6.67,few clouds
590,Carutapera,BR,-1.195,-46.02,79.14,82,80,8.21,broken clouds
591,Hirado,JP,33.3597,129.5531,54.75,94,100,3.96,light rain
592,Menongue,AO,-14.6585,17.691,64.17,88,99,3.09,light rain
593,Linjiang,CN,41.8069,126.9078,30.49,91,100,5.28,snow
594,Salaga,GH,8.5508,-0.5188,77.04,17,22,5.91,few clouds
595,Chernyshevskiy,RU,63.0128,112.4714,-8.95,93,100,11.79,overcast clouds
596,Uttarkashi,IN,30.7333,78.45,57.76,11,0,5.3,clear sky
597,Saint-Raphael,HT,19.4333,-72.2,66.06,95,6,3.87,clear sky
598,Patiya,BD,22.2931,91.9762,73.35,60,48,0.0,haze
599,Nouadhibou,MR,20.931,-17.0347,62.24,85,0,13.91,clear sky
600,Vestmanna,FO,62.1564,-7.1664,43.72,93,75,13.8,broken clouds
601,Tignere,CM,7.3667,12.65,62.33,31,97,1.9,overcast clouds
602,Simnas,LT,54.4,23.65,42.57,94,100,17.09,overcast clouds
603,Pangody,RU,65.85,74.4859,-25.85,93,49,5.26,scattered clouds
604,Tabou,CI,4.423,-7.3528,78.26,86,81,5.14,broken clouds
605,Biu,NG,10.6129,12.1946,60.69,41,43,8.75,scattered clouds
606,Teguise,ES,29.0605,-13.564,62.82,55,0,13.8,clear sky
607,Road Town,VG,18.4167,-64.6167,78.01,66,3,23.89,clear sky
608,Awbari,LY,26.5921,12.7805,46.29,71,41,7.43,scattered clouds
609,Pochinki,RU,54.6988,44.8668,26.44,92,100,9.84,overcast clouds
610,Roebourne,AU,-20.7833,117.1333,99.36,23,0,18.81,clear sky
611,Umm Kaddadah,SD,13.6017,26.6876,61.52,30,62,17.07,broken clouds
612,Camana,PE,-16.6228,-72.7111,68.36,89,87,9.73,overcast clouds
613,Bonthe,SL,7.5264,-12.505,78.26,83,100,3.94,moderate rain
614,Saint-Leu,RE,-21.15,55.2833,83.95,71,0,4.54,clear sky
615,Puerto Maldonado,PE,-12.6,-69.1833,72.72,99,73,1.57,broken clouds
616,Prince Rupert,CA,54.3161,-130.3201,31.69,90,1,2.3,clear sky
617,Jaguey Grande,CU,22.5269,-81.1286,70.9,88,1,7.14,clear sky
618,Sakakah,SA,29.9697,40.2064,53.17,52,30,1.32,scattered clouds
619,Taoudenni,ML,22.6783,-3.9836,66.33,26,0,7.74,clear sky
620,Fort Frances,CA,48.5999,-93.4003,38.16,68,90,5.01,fog
621,Lakes Entrance,AU,-37.8811,147.981,71.58,58,22,11.18,few clouds
622,Griffith,US,41.5284,-87.4237,64.33,81,90,8.01,overcast clouds
623,Kostomuksha,RU,64.571,30.5767,31.93,93,100,11.21,overcast clouds
624,Keetmanshoop,NA,-26.5833,18.1333,55.72,65,9,8.81,clear sky
625,Juneau,US,58.3019,-134.4197,24.85,89,75,3.44,broken clouds
626,Nisia Floresta,BR,-6.0911,-35.2086,80.98,88,77,5.17,broken clouds
627,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,94,75,19.06,broken clouds
628,Half Moon Bay,US,37.4636,-122.4286,52.92,91,90,11.99,fog
629,Camacha,PT,33.0833,-16.3333,59.76,77,40,12.66,scattered clouds
630,Fomboni,KM,-12.28,43.7425,82.04,70,12,17.36,few clouds
631,Waynesville,US,35.4887,-82.9887,46.45,94,66,6.04,broken clouds
632,Nagua,DO,19.3832,-69.8474,69.44,86,25,8.5,scattered clouds
633,Zatoka,UA,46.0725,30.4654,34.34,93,100,23.64,overcast clouds
634,Matara,LK,5.9485,80.5353,84.67,66,69,3.44,broken clouds
635,Mananjary,MG,-21.2167,48.3333,78.03,76,1,3.87,light rain
636,Mahibadhoo,MV,3.7833,72.9667,82.51,75,23,15.46,few clouds
637,Beloha,MG,-25.1667,45.05,88.54,40,4,6.89,clear sky
638,Huaiyin,CN,33.5886,119.0192,54.23,61,92,8.93,overcast clouds
639,Bose,IT,45.4612,8.0137,41.95,85,21,0.72,few clouds
640,Tumarbong,PH,10.3766,119.4579,86.34,65,96,6.13,overcast clouds
641,Dryden,CA,49.7833,-92.7503,37.69,93,90,4.61,fog
642,Ocos,GT,14.5094,-92.1933,80.01,73,0,2.77,clear sky
643,Obihiro,JP,42.9172,143.2044,38.61,48,27,5.06,scattered clouds
644,Palakkad,IN,10.7833,76.65,82.45,64,85,11.95,overcast clouds
645,Keffi,NG,8.8486,7.8736,70.29,20,37,4.36,scattered clouds
646,Artyom,AZ,40.4723,50.333,41.14,74,85,10.18,overcast clouds
647,Semnan,IR,35.5729,53.3971,40.98,37,36,1.23,scattered clouds
648,Oromocto,CA,45.8351,-66.4792,25.95,67,90,4.61,light snow
649,Neryungri,RU,56.6709,124.6491,-14.06,90,100,9.06,overcast clouds
650,Okitipupa,NG,6.5047,4.7839,74.08,93,17,2.55,few clouds
651,Quzhou,CN,28.9594,118.8686,63.59,84,90,4.0,overcast clouds
652,Florence,IT,43.7667,11.25,50.09,81,0,5.75,clear sky
653,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.95,57,0,3.44,clear sky
654,Iwanai,JP,42.9744,140.5089,37.09,66,98,5.03,overcast clouds
655,Bhag,PK,29.0415,67.8239,58.19,12,0,9.1,clear sky
656,Ust-Omchug,RU,61.15,149.6333,-12.64,98,100,5.53,overcast clouds
657,Coihaique,CL,-45.5752,-72.0662,48.15,81,0,2.3,clear sky
658,Muisne,EC,0.6,-80.0333,74.5,88,100,8.08,overcast clouds
659,Key West,US,24.5557,-81.7826,78.8,84,90,5.75,light rain
660,Jining,CN,35.405,116.5814,53.01,1,100,14.45,overcast clouds
661,Princeton,US,25.5384,-80.4089,78.03,85,40,1.99,scattered clouds
662,Sarab,IR,38.6066,44.9883,35.91,51,0,0.45,clear sky
663,Ulladulla,AU,-35.35,150.4667,69.76,65,99,6.51,overcast clouds
664,Moctezuma,MX,29.8,-109.6667,55.92,64,58,2.19,broken clouds
665,Turbat,PK,26.0023,63.044,60.93,13,15,17.09,few clouds
666,Korla,CN,41.7597,86.1469,29.86,54,9,3.04,clear sky
667,Avrille,FR,47.5,-0.5833,45.14,89,0,8.37,clear sky
668,Wilmington,US,34.2257,-77.9447,54.86,93,1,0.0,clear sky
669,Labytnangi,RU,66.6572,66.4183,-0.49,98,100,3.29,overcast clouds
670,Honningsvag,NO,70.9821,25.9704,33.19,89,100,6.24,light snow
671,Cocobeach,GA,1.0002,9.5823,78.73,84,100,0.76,light rain
672,Vila Do Maio,CV,15.1333,-23.2167,70.59,74,99,12.57,overcast clouds
673,Sedhiou,SN,12.7081,-15.5569,75.54,26,100,4.52,overcast clouds
674,Tete,MZ,-16.1564,33.5867,78.89,69,40,3.0,scattered clouds
675,Fukue,JP,32.6881,128.8419,57.56,100,75,4.61,shower rain
676,Stavern,NO,59.0,10.0333,46.08,83,0,16.42,clear sky
677,Mogok,MM,22.9167,96.5,69.13,37,100,2.98,overcast clouds
678,Aanekoski,FI,62.6946,25.818,32.86,100,20,9.71,few clouds
679,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-6.52,85,82,12.28,broken clouds
680,Grants Pass,US,42.439,-123.3284,41.43,95,90,0.0,mist
681,Mega,ET,4.05,38.3,63.66,60,72,13.51,broken clouds
682,Floro,NO,61.5996,5.0328,46.36,76,20,18.41,few clouds
683,Severomorsk,RU,69.0689,33.4162,27.0,95,100,5.19,overcast clouds
684,Japura,ID,-0.3167,102.35,78.75,85,100,3.89,light rain
685,Zavitinsk,RU,50.1167,129.45,-12.95,84,9,6.33,clear sky
686,Itoman,JP,26.1247,127.6694,77.4,65,20,18.41,few clouds
687,Bosaso,SO,11.2842,49.1816,75.18,83,20,4.61,few clouds
688,Muriwai Beach,NZ,-36.8167,174.45,70.95,74,20,15.73,few clouds
689,Londa,IN,15.4691,74.5191,73.11,63,58,8.52,broken clouds
690,Moerai,PF,-22.4333,-151.3333,78.64,74,98,15.64,overcast clouds
691,Tondano,ID,1.3038,124.9112,82.49,77,100,2.3,overcast clouds
692,Ola,RU,59.5833,151.2833,2.14,91,100,13.11,overcast clouds
693,Vincennes,FR,48.85,2.4333,46.96,91,90,2.3,overcast clouds
694,Uray,RU,60.1247,64.7758,8.38,98,99,4.72,overcast clouds
695,Batsfjord,NO,70.6345,29.7185,28.62,90,100,2.06,overcast clouds
696,Sobolevo,RU,54.4299,31.8996,33.75,98,100,13.4,overcast clouds
697,Jinan,CN,36.6683,116.9972,45.84,29,100,10.6,overcast clouds
